maturity,strike,type,mid,iv,vega,forward,log_moneyness,spread_relatif
0.09041095890410959,762.0,call,13.71,0.1282239648147814,90.61090014171307,765.8011305613686,-0.004975959669598389,0.02771699489423784
0.09041095890410959,763.0,call,13.08,0.12718567417922946,91.01012809815143,765.8011305613686,-0.0036644840717876903,0.02752293577981647
0.09041095890410959,764.0,call,12.440000000000001,0.1258970654908432,91.31231230031676,765.8011305613686,-0.002354726189724126,0.008038585209003185
0.09041095890410959,765.0,call,11.835,0.12484789587139106,91.513688409699,765.8011305613686,-0.0010466815297088127,0.007604562737642723
0.09041095890410959,766.0,call,11.245,0.12381464700602456,91.6071212842586,765.8011305613686,0.00025965438434661633,0.008003557136505102
0.09041095890410959,767.0,call,10.665,0.12273915558152525,91.58709336098374,765.8011305613686,0.0015642860110115819,0.008438818565400998
0.09041095890410959,768.0,call,10.09,0.12156309736479817,91.44766024132514,765.8011305613686,0.0028672177914274184,0.007928642220019828
0.09041095890410959,769.0,call,9.54,0.12050138833334369,91.18396533200583,765.8011305613686,0.004168454149399304,0.010482180293501012
0.09041095890410959,770.0,call,9.015,0.11955161904025856,90.79282428698673,765.8011305613686,0.005467999491484941,0.009983361064891831
0.09041095890410959,771.0,call,8.505,0.1186016539312727,90.26981900696953,765.8011305613686,0.006765858207084754,0.010582010582010564
0.09041095890410959,772.0,call,8.0,0.11753722245960073,89.60694586274269,765.8011305613686,0.008062034668531512,0.009999999999999898
0.09041095890410959,773.0,call,7.53,0.11669052822747576,88.81411292846698,765.8011305613686,0.009356533231177381,0.010624169986719797
0.09041095890410959,774.0,call,7.07,0.11578117191029928,87.87923189988257,765.8011305613686,0.010649358233482393,0.011315417256011324
0.09041095890410959,775.0,call,6.625,0.11486281501969767,86.80241161280748,765.8011305613686,0.01194051399710235,0.010566037735849099
0.09041095890410959,776.0,call,6.2,0.11399181645464983,85.58849400361439,765.8011305613686,0.013230004826974182,0.012903225806451623
0.09041095890410959,777.0,call,5.795,0.11316900081108863,84.24078116255345,765.8011305613686,0.014517835011402731,0.012079378774805916
0.09041095890410959,778.0,call,5.41,0.11239603441248527,82.76418226889946,765.8011305613686,0.01580400882214697,0.014787430683918681
0.09041095890410959,779.0,call,5.04,0.11161391294948604,81.15374202331121,765.8011305613686,0.017088530514503708,0.015873015873015886
0.09041095890410959,780.0,call,4.695,0.1109481747762953,79.43908400374364,765.8011305613686,0.018371404327392725,0.01490947816826417
0.09041095890410959,781.0,call,4.365,0.11027881190747177,77.60505374551504,765.8011305613686,0.019652634483441345,0.01603665521191301
0.09041095890410959,782.0,call,4.055,0.10967314771287831,75.67527160499804,765.8011305613686,0.020932225189066535,0.017262638717632624
0.09041095890410959,783.0,call,3.755,0.10900259940732644,73.62197802345715,765.8011305613686,0.022210180634558416,0.018641810918774926
0.09041095890410959,784.0,call,3.48,0.10847379938192257,71.51639574168375,765.8011305613686,0.02348650499416324,0.011494252873563229
0.09041095890410959,785.0,call,3.22,0.10795885871696738,69.33183208446019,765.8011305613686,0.024761202426163684,0.012422360248447215
0.09041095890410959,786.0,call,2.98,0.10753758141679312,67.10999853284156,765.8011305613686,0.026034277072961874,0.01342281879194632
0.09041095890410959,787.0,call,2.75,0.10707004555979106,64.80718433077851,765.8011305613686,0.027305733061158632,0.014545454545454558
0.09041095890410959,788.0,call,2.535,0.10663625038979414,62.46518030422517,765.8011305613686,0.02857557450163439,0.01183431952662714
0.09041095890410959,789.0,call,2.34,0.10632892911386521,60.14173964981354,765.8011305613686,0.02984380548962958,0.01709401709401711
0.09041095890410959,790.0,call,2.1550000000000002,0.1059966912959832,57.77753106819101,765.8011305613686,0.031110430104822593,0.013921113689095035
0.09041095890410959,791.0,call,1.9849999999999999,0.1057333755118167,55.43044476314105,765.8011305613686,0.03237545241140915,0.0151133501259446
0.09041095890410959,792.0,call,1.8250000000000002,0.10546123478883786,53.069921122396664,765.8011305613686,0.033638876458181206,0.016438356164383574
0.09041095890410959,793.0,call,1.6749999999999998,0.10518679338392282,50.70749006420174,765.8011305613686,0.034900706278603415,0.017910447761194048
0.09041095890410959,794.0,call,1.545,0.10512447090033962,48.480718112936145,765.8011305613686,0.036160945890891014,0.01941747572815536
0.09041095890410959,795.0,call,1.415,0.10488115747749188,46.163771446541624,765.8011305613686,0.03741959929808726,0.021201413427561856
